record_id,taxon,parasite,material,preparation,assay_stage,endpoint,dose_or_ic50,host_control_or_selectivity,mechanistic_or_translation_boundary,source_id
P016,"Artemisia absinthium","Trichinella spiralis; Meloidogyne javanica","two cultivated-population essential oils","GC-MS; (Z)-epoxyocimene and chrysanthenol major components","L1 infectivity ex vivo; intestinal adults in vivo; plant-parasitic nematode comparison","L1 infectivity ex vivo; intestinal adults in vivo; plant-parasitic nematode comparison","72-100% reduction of T. spiralis L1 infectivity at 0.5-1 mg/mL; 66% adult reduction in vivo","no mammalian-cell cytotoxicity reported in tested range","oil composition and activity were population- and parasite-specific; thujone-free oils are not representative of all wormwood","absinthium-selective-nematocidal-oils"
P017,"Artemisia absinthium","Haemonchus contortus","dried wormwood supplementation and aqueous extract","feed trial plus egg-hatch assay","ovine lambs; H. contortus eggs","in vitro egg-hatch","ED50 1.40 mg/mL and ED99 3.76 mg/mL for aqueous extract; group FECR not significantly different","untreated and botanical comparator groups","ovine in-vivo result did not reproduce the strong in-vitro ovicidal result; no terpene attribution","absinthium-wormwood-lambs"
P018,"Artemisia absinthium","gastrointestinal parasites in swine","dried wormwood powder","low-input farm field intervention","swine gastrointestinal parasite and protozoan outcomes","swine gastrointestinal parasite and protozoan outcomes","90 mg/kg body weight/day for 10 days; study reports reduced parasite outcomes","field context and co-intervention limit causal attribution","complex powder; polyphenols and other metabolites were co-exposed","absinthium-swine-parasites"
P019,"Artemisia absinthium","gastrointestinal nematodes in Awassi sheep","crude ethanolic extract","natural infection; fecal egg-count reduction","day 0/7/15 FECRT","day 0/7/15 FECRT","76.77% FECRT for 1.0 g/kg CEE on day 15 versus 100% for albendazole","18-animal study; no adverse effects observed during trial","regional extract chemistry and small sample require independent confirmation; not human evidence","absinthium-awassi-nematodes"
P020,"Artemisia annua","Plasmodium yoelii; Plasmodium chabaudi","dried whole plant","rodent treatment and serial resistance selection","blood-stage rodent malaria and resistance evolution","blood-stage rodent malaria and resistance evolution","whole-plant dose matched to artemisinin; overcame selected P. yoelii resistance and slowed stable P. chabaudi resistance","rodent model","whole-plant matrix and rodent pharmacology do not establish human efficacy or replace quality-assured ACT","annua-whole-plant-resistance"
P021,"Artemisia annua","Plasmodium falciparum Dd2","whole-leaf extracts from CHI1, CYP71AV1, and ADS mutant lines","metabolite profiling plus mutant whole-leaf parasite assay","intraerythrocytic parasite growth and initial cytocidal action","antiplasmodial efficacy and rate of kill","CHI1 mutant, wild-type, and artemisinin-impaired line comparisons; extraction and artemisinin content measured","mutant-line comparison","supports artemisinin dominance in this system; matrix effects elsewhere remain unresolved","annua-whole-leaf-flavonoid"
P022,"Artemisia annua","Plasmodium falciparum NF54","leaves grown under white, blue, or red LED spectra and greenhouse conditions","crude extract growth-inhibition assay with GC/UPLC metabolite profiling","in-vitro parasite growth inhibition","parasite growth inhibition","crude-extract IC50 values 0.51, 0.52, 1.11, and 2.23 microgram/mL for white, blue, red, and greenhouse treatments, respectively","artesunate positive control; controlled light treatments","environmental chemotype experiment identifies correlated metabolites, not causal terpene targets or human efficacy","annua-led-antimalarial"
P023,"Artemisia absinthium","Schistosoma mansoni","dichloromethane crude extract and chromatographic fractions","adult-worm in-vitro assay and compound isolation","adult-worm in-vitro assay","adult-worm mortality","100% mortality at 200 microgram/mL for A. absinthium crude extract; artemetin and hydroxypelenolide isolated from active material","praziquantel context; host selectivity not established in this record","preparation-level schistosomicidal activity and a sesquiterpene-lactone lead; isolated-compound potency remains unresolved","absinthium-schistosoma"
P024,"Artemisia absinthium","Leishmania amazonensis","essential oil formulated in nanocochleates","intracellular amastigote assay and murine cutaneous-leishmaniasis model","parasite IC50 and lesion/parasite-load suppression","EO-nanocochleate parasite IC50 21.5 +/- 2.5 microgram/mL; macrophage IC50 27.7 +/- 5.6 microgram/mL; approximately 50% in-vivo suppression at 30 mg/kg intralesional","macrophage counterassay; empty nanocochleate and Glucantime comparators","formulation- and route-specific oil result","not evidence for wormwood nematode efficacy or a single active terpene","absinthium-nanocochleate-leishmania"
P025,"Artemisia annua","Plasmodium falciparum Pf3D7; Plasmodium yoelii","A. annua extract with equivalent artemisinin and isolated chrysosplenetin","in-vitro Pf3D7 assay plus infected-mouse PK/efficacy study and LC-HRMS fractionation","in-vitro parasite growth and rodent blood-stage malaria","parasite growth, ED50/ED90, and artemisinin exposure","no Pf3D7 synergy at 150 nM; biphasic P. yoelii matrix effect with lower ED90 and comparable ED50; higher ART exposure at approximately 10% parasitemia","pure artemisinin comparison; infection-stage-dependent PK comparison","host absorption/metabolism and non-standardized extract matrix; chrysosplenetin is a non-terpene co-metabolite; not clinical evidence","annua-extract-pk-synergy-2026"
P026,"Artemisia annua","Plasmodium berghei K173","artemisinin plus isolated chrysosplenetin combination","sensitive/resistant mouse infection model with Mdr1a WT and KO comparisons","rodent survival, parasitemia, inhibition, redox and resistance-associated host-response endpoints","survival, parasitemia, inhibition, redox and resistance-associated host responses","resistant mice: 100% survival, approximately 30% inhibition, approximately 20% parasitemia under combination","artemisinin monotherapy; sensitive/resistant strains; Mdr1a WT/KO","flavonoid matrix comparator with host and parasite-response effects; not a terpene, direct parasite-protein target, or human regimen","annua-chrysosplenetin-resistance-2025"
P027,"Artemisia absinthium","Haemonchus contortus; Strongyloides papillosus","aqueous solutions of ethanolic tincture","comparative in-vitro 46-plant larval survivability screen","L1-2 and L3 larval viability","larval viability","A. absinthium was one of five plants with nematicidal properties in the 46-plant screen; exact concentration not available in the abstract","46-plant comparison; plant-level nematicidal classification","study supports qualitative tincture activity but provides no terpene attribution, exact A. absinthium dose, or in-vivo efficacy","absinthium-european-tinctures-2025"
P028,"Artemisia annua; Artemisia afra","Plasmodium falciparum","aqueous leaf-and-twig extracts","HPLC/MS metabolite profiling plus parasite trophozoite metabolomics","in-vitro trophozoite response","extract-associated parasite metabolic response","A. afra contained trace artemisinin; A. annua response correlated more closely with purified artemisinin and altered glutathione metabolism, while A. afra affected lipid precursors","comparative extract study; parasite metabolomics","supports divergent preparation-level malaria responses; phenolic/matrix effects are not terpene-specific and no direct target or clinical efficacy is established","afra-annua-metabolomics-malaria-2025"
P029,"Artemisia annua","Plasmodium yoelii; Plasmodium berghei","artemisinin with arteannuin B, arteannuic acid, and scopoletin","defined-component combination and repeated-dose mouse pharmacokinetics","murine blood-stage malaria","parasitemia reduction and artemisinin exposure","combination reduced reported parasitemia about 93% versus about 31% for pure artemisinin in the four-day rodent models; exposure increased in healthy and infected mice","pure artemisinin comparison; murine models","preclinical combination and host-PK result; scopoletin is non-terpene, component-level causality and clinical translation remain unresolved","annua-natural-combination-malaria-2018"
P030,"Artemisia herba-alba; Artemisia judaica","Ascaridia galli","crude ethanolic extracts","0.5% DMSO extracts; extract chemistry not fractionated","adult-worm in vitro plus infected-chick in vivo","motility, female fecundity, fecal egg count, worm burden, and docking hypotheses","in vitro 30.1% inhibition (A. herba-alba) and 23.1% (A. judaica) at 50 mg/mL after 13 h; in vivo 1000/3000 mg/kg; camphor docking -6.25 kcal/mol to ATP synthase and -6.90 kcal/mol to glutathione transferase","fenbendazole in vitro 100% at 0.5 mg/mL and in vivo 50 mg/kg; untreated controls","crude-extract poultry result with E2 docking hypotheses; no terpene causality, direct target engagement, human vermifuge efficacy, or equivalence to A. absinthium","herba-alba-judaica-ascaridia-2026"
P031,"Artemisia annua","Plasmodium falciparum; Plasmodium yoelii","artemisinin with ethyl-acetate or petroleum-ether A. annua extracts; isolated arteannuin B and artemisinic acid","equivalent-artemisinin extract comparison, LC-HRMS differential-component analysis, component isolation, and matched-proportion PK/PD tests","in-vitro parasite growth, murine blood-stage malaria, and rat pharmacokinetics","parasite growth, ED50, artemisinin AUC0-t, and component-enhancement hypothesis","pure artemisinin ED50 5.6 mg/kg versus 2.9 mg/kg (ethyl acetate) and 1.6 mg/kg (petroleum ether) in vivo; petroleum-ether extract increased rat artemisinin AUC0-t 1.7-fold; arteannuin B and artemisinic acid were 3.0% and 14.1% in petroleum ether versus 0.9% and 5.1% in ethyl acetate","pure artemisinin comparison; in vitro IC50 15.0-20.0 nM showed no extract enhancement; matched arteannuin B/artemisinic acid proportion was tested in rats","defined sesquiterpene and host-PK hypothesis in preclinical models; no clinical synergy, standardized botanical efficacy, or single-component causal attribution is established","annua-top-down-synergy-2024"
P032,"Artemisia annua","Haemonchus contortus and mixed ovine gastrointestinal nematodes","water, sodium-bicarbonate, ethanol, and dichloromethane leaf extracts; purified artemisinin","in-vitro egg-hatch and larval-development assays followed by single-dose sheep trial","in-vitro H. contortus plus naturally infected Santa Ines sheep","egg hatch, larval development, fecal egg count, hematocrit, artemisinin exposure","sodium-bicarbonate extract LC99 1.27 microgram/mL in egg-hatch and 23.8 microgram/mL in larval-development assays; extract 2 g/kg and artemisinin 100 mg/kg produced nonsignificant day-15 EPG reductions of 19% and 28%; extract contained no artemisinin in vivo","levamisole produced 97% EPG reduction; infected untreated controls increased EPG by 95%; extract and artemisinin maintained hematocrit","strong in-vitro preparation signal but negative/limited single-dose ovine translation; no terpene-specific causal claim and no extension from malaria to human anthelmintic use","annua-haemonchus-sheep-2014"
P033,"Artemisia brevifolia","Haemonchus contortus and mixed gastrointestinal nematodes","whole-plant crude powder, crude aqueous extract, and crude methanol extract","in-vitro live-worm assay plus graded-dose trial in naturally infected sheep","in-vitro H. contortus and ovine in vivo","worm paralysis/mortality and fecal egg count","extracts caused paralysis and/or mortality by 6 h; crude aqueous extract at 3 g/kg produced maximum 67.2% day-14 EPG reduction; responses increased with dose","levamisole 99.2% EPG reduction; mixed-species natural infection; crude preparations","comparative veterinary phenotype with dose trend, but no terpene attribution, standardized chemistry, or human efficacy","brevifolia-anthelmintic-sheep-2004"
P034,Artemisia herba-alba,Haemonchus contortus,crude methanolic flower and leaf extracts,adult motility and egg-hatch assays with graded concentrations,adult worms in vitro; eggs in vitro,adult motility and egg-hatch inhibition,"flower extract reached 98.67% egg-hatch inhibition at 1 mg/mL; all extracts showed concentration- and time-dependent activity","albendazole and untreated controls; no mammalian-cell selectivity result in the abstract","comparative crude-extract in-vitro result; constituent attribution, host selectivity, in-vivo efficacy, and extension to A. absinthium or humans remain unresolved","herba-alba-haemonchus-crude-extract-2020"
