pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status,abstract,abstract_status
31516509,Sesquiterpene lactones from shoot culture of Artemisia aucheri with cytotoxicity against prostate and breast cancer cells.,Research in pharmaceutical sciences,2019 Aug,sesquiterpene_lactone,chemistry;lactone;phenotype,4,title_priority_only,"Plant tissue culture is used to grow plant cells, tissues, or organs under sterile and determined conditions on culture media. It is alternative to traditional vegetative propagation, and is applied as an effective technology for the production of valuable secondary metabolites. The Artemisia aucheri (A. aucheri) was obtained from shoot culture grown on MS (Murashige and Skoog 1962) medium. Shade-dried aerial parts of in vitro grown A. aucheri (50 g) were extracted with dichloromethane-acetone (90:10). The extract was submitted for isolation to sephadex gel chromatography and preparative thin layer chromatography, which resulted in identification of one known eudesmanolide named artemin or 2,5-dihydroxy-12, 6-eudesmanolide-4(15)-en for the first time in this plant. In cell cytotoxicity test, artemin showed cytotoxic activity against DU-145,LNCaP prostate cancer, and MCF-7 breast cancer cells with IC50 values of 82.2 ± 5.6, 89.1 ± 6.3 and 111.5 ± 6.7 μM , respectively. Artemin was more active against prostate cancer cells with approximately same cytotoxicity against LNCaP androstane dependent cells and DU 145 which is androstane independent.",retrieved
32932206,Exogenous abscisic acid mediates ROS homeostasis and maintains glandular trichome to enhance artemisinin biosynthesis in Artemisia annua under copper toxicity.,Plant physiology and biochemistry : PPB,2020 Nov,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic;safety,lactone;genomics;phenotype,4,title_priority_only,"One of the major abiotic stresses that cause environmental pollution is heavy metal stress. In the present investigation, copper (Cu) toxicity caused morphological and cellular damages to the Artemisia annua L. plants but supplementation of abscisic acid (ABA) ameliorated the damaging effect of Cu. Copper toxicity significantly reduced the shoot and root lengths; fresh and dry weights of shoot. However, exogenous application of ABA to Cu-treated plants significantly attenuated the damaging effects on plants caused by Cu toxicity. Copper stress also reduced the physiological and biochemical parameters, but ABA application ameliorated the negative effects of Cu in the affected plant. Accumulation of Cu in plant tissues significantly increased the membrane damage and oxidative enzyme activities such as catalase (CAT), peroxidase (POX) and superoxide dismutase (SOD). Further, the impact of high concentration of Cu on density, area and ultrastructure of glandular trichomes and artemisinin content was studied. Moreover, the foliar application of ABA improved the area, density of glandular trichomes and secured the plant cells from Cu toxicity. Therefore, this investigation indicated that the exogenous application of ABA protects A. annua plant by increasing antioxidant enzymes activity, which helps in maintaining cell integrity of leaves and results in increased artemisinin production.",retrieved
41391185,Comparative genomic analysis of Artemisia argyi reveals asymmetric expansion of terpene synthases and conservation of artemisinin biosynthesis.,The Plant journal : for cell and molecular biology,2025 Dec,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,chemistry;lactone;genomics,4,title_priority_only,"Artemisia argyi, a perennial herb of the Asteraceae family, possesses significant therapeutic and economic value. We present a 7.88 Gb chromosome-level haplotype-resolved genome assembly, revealing its unique evolutionary trajectory. The karyotype (2n = 34) of A. argyi is that of an autotetraploid, which underwent gametic chromosome fusion prior to species-specific whole-genome duplication (WGD-3). The genome exhibits pronounced multivalent chromosome pairing and frequent recombination among homologous groups. Asymmetrical evolution following WGD-3 is a hallmark feature, evidenced by imbalanced allelic gene loss and widespread neofunctionalization. The terpene synthase (TPS) gene family exemplifies this pattern, having expanded through four duplication events in A. argyi. Recent tandem duplications and allelic functional differentiation have generated substantial gene functional diversity. Notably, we identified a tandem-duplicated six-copy ADS homolog (AarADS)-a key TPS gene in the artemisinin biosynthetic pathway of Artemisia annua (AanADS)-localized exclusively to a single chromosome in A. argyi. Unlike AanADS, which converts farnesyl pyrophosphate (FPP) to amorpha-4,11-diene, AarADS catalyzes FPP to α-bisabolol. Evolutionary analysis suggested that AanADS acquired its specialized function via a derived mutation in the A. annua lineage. This study elucidates the genomic evolution underpinning A. argyi's distinctive medicinal properties.",retrieved
14495608,[On sesquiterpene lactones of Artemisia leucodes Schrenk].,Meditsinskaia promyshlennost' SSSR,1961 Nov,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
14495607,[On a sesquiterpene lactone from Artemisia austriaca Jacq].,Meditsinskaia promyshlennost' SSSR,1962 Mar,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
14076644,[ON SESQUITERPENE LACTONES FROM SOME SPECIES OF ARTEMISIA].,Meditsinskaia promyshlennost' SSSR,1963 Jun,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,chemistry;lactone,3,title_priority_only,,no_abstract
6047536,Sesquiterpene lactones of artemisia species. IV. Douglanine from Artemisia douglasiana Bess.,Tetrahedron letters,1967 Jun,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
6043701,Sesquiterpene lactones of Artemisia species. 3. Arglanine from Artemisia douglasiana Bess.,Tetrahedron letters,1967 May,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
5532413,"Terpene biosynthesis. 3. Biosynthesis of (+)- and (-)-camphor in Artemisia, Salvia, and Chrysanthemum species.",Journal of the Chemical Society. Perkin transactions 1,1970,terpene_essential_oil;biosynthesis_genes,chemistry;genomics,3,title_priority_only,,no_abstract
5529836,[Studies on sesquiterpenelactones. 3. Chemical consiitution of mature plants of Artemisia sp].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,1970 Sep,terpene_essential_oil,chemistry;lactone,3,title_priority_only,,no_abstract
5556509,Allergic contact dermatitis caused by Artemisia and Chrysanthemum species. The role of sesquiterpene lactones.,The Journal of investigative dermatology,1971 Feb,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
4675859,[Studies on sesquiterpene lactones. 8. Chemical constitution of the ratoons of Artemisia feddei collected in Kochi Prefecture].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,1972 Dec,terpene_essential_oil;sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
4738648,[Studies on sesquiterpenelactones. IX. Seasonal variation of chemical constitution of Artemisia feddei collected in Kochi prefecture].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,1973 Jun,terpene_essential_oil,chemistry;lactone,3,title_priority_only,,no_abstract
4847771,"New monoterpenes from Artemisia filifolia (Torrey). Structure, synthesis, rearrangements, and biosynthesis.",The Journal of organic chemistry,1974 Apr 19,terpene_essential_oil;biosynthesis_genes,chemistry;genomics,3,title_priority_only,,no_abstract
7463310,[Studies on sesquiterpenelactones. VI. Chemical constitution of Artemisia feddei Lev. et Van (author's transl)].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,1980 Jun,terpene_essential_oil,chemistry;lactone,3,title_priority_only,,no_abstract
17342606,"Artemisitene, a New Sesquiterpene Lactone Endoperoxide from Artemisia annua.",Planta medica,1985 Oct,sesquiterpene_lactone;antiparasitic,chemistry;lactone,3,title_priority_only,"Artemisitene, an endoperoxide closely related to the known antimalarial sesquiterpene artemisinin, has been isolated from ARTEMISIA ANNUA, and its structure has been determined.",retrieved
17265316,Sesquiterpene lactones from Artemisia assoana.,Planta medica,1988 Oct,sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
17226151,Flavonoids and Sesquiterpene Lactones of Artemisia mesatlantica.,Planta medica,1991 Apr,sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
22556530,Anthelmintic activity of the essential oil of artemisia pallens wall.,Ancient science of life,1991 Jan,terpene_essential_oil;antiparasitic,chemistry;phenotype,3,title_priority_only,"Helminthic infections are now being recognized as the cause of much chronic ill health and sluggishness among the tropical people. More than half of the world populations suffers from worm infections of one type or the other. Traditional system of medicine reports the efficacy of chenopodiul oil, Embelia ribes (Via-Varang), Trachyspermum ammi Ajwain and Biper betle (Pan) oils etc. for eliminating helminthes. The present study reports the strong anthelmintic activity of the essential oil of Artemisia pallens Wall. Against Pheritima posthuma (earth worm), Taenia solium (tape worm) and Ascaris lumbricoides (round worm). The helminthes have been found to be more susceptible to the oil than to piperazine phosphate of similar concentration. Artemisia pallens has been ascribed to possess anthelmintic and stomachic properties in indigenous system of medicine. The present screening not only confirms the correct usage of the plant by the rurals but also enhances the creditability of ethnobotanical explorations.",retrieved
17226480,Artemisinin G: A Sesquiterpene from Artemisia annua.,Planta medica,1992 Jun,sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,,no_abstract
17226503,Sesquiterpene Lactones and Other Constituents from Artemisia feddei.,Planta medica,1992 Oct,sesquiterpene_lactone,chemistry;lactone,3,title_priority_only,"The aerial parts of ARTEMISIA FEDDEI Lévl. et Vant., common in the NW of China, contain several widespread plant constituents and five sesquiterpene lactones two of which are new guaianolides. The structures were elucidated by spectroscopic methods.",retrieved
8374514,"In vitro biological activities of arglabin, a sesquiterpene lactone from the Chinese herb Artemisia myriantha Wall. (Asteraceae).",Biotechnology therapeutics,1993,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;lactone,3,title_priority_only,"The immunomodulating properties of arglabin, a sesquiterpene lactone isolated from Artemisia myriantha Wall. (Asteraceae) were investigated using the murine macrophage tumor line J774.1. Arglabin-stimulated macrophages displayed a strong cytotoxic activity and the lowest doses (1.25 micrograms/mL and 0.125 micrograms/mL) induced a significant stimulation of cell mitochondrial metabolism, which correlated with [3H]TdR uptake by J774.1 cells under the same experimental conditions. In addition, the secretion of cytokines involved in host defence mechanisms--IL-1, TNF-alpha, and IL-2--was investigated upon incubation of J774-1 cells with arglabin. Arglabin triggered the production of the three cytokines from J774-1 cells. However, the pattern of cytokine secretion differed to some extent, according to the methodology used for cytokine measurement: either traditional bioassay or specific immunoassay (ELISA). Our data emphasize a possible proliferative effect of arglabin in the traditional bioassays, at least for the highest concentrations used. The results were verified with specific ELISA immunoassays. Using either method, lower concentrations of arglabin (ranging from 12.5 micrograms/mL to 0.125 micrograms/mL) were the most effective in inducing IL-1, TNF-alpha, or IL-2 secretion. In addition, preliminary data on phagocytosis showed that arglabin enhanced the uptake of fluorescent latex beads by J774.1 cells.",retrieved
8463794,Crystal structure of artemisinic acid: a possible biogenetic precursor of antimalarial artemisinin from Artemisia annua.,Journal of natural products,1993 Feb,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;phenotype,3,title_priority_only,"Artemisinic acid [1], a possible biogenetic precursor of the antimalarial artemisinin [2], was isolated from the hexane extract of Artemisia annua. X-ray crystallography of the dimer of artemisinic acid shows that the cyclization during intermolecular hydrogen bonding occurs by the opposite orientation of the alpha, beta-methylene group in each molecule. Complete spectroscopic data of 1 are also given.",retrieved
17236047,"Artemisinin, Related Sesquiterpenes, and Essential Oil in Artemisia annua During a Vegetation Period in Vietnam.",Planta medica,1994 Jun,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,chemistry;lactone,3,title_priority_only,"The active principle of ARTEMISIA ANNUA L., artemisinin, is currently being developed to a registered antimalarial drug. For production purposes, plants with a high artemisinin content are required. We followed the development of the artemisinin content and of the biosynthetically related sesquiterpenes artemisinic acid, arteannuin B, and artemisitene in A. ANNUA plants, during a vegetation period in Vietnam, where this species is indigenous. In addition, the essential oil content and composition were studied. Samples of leaves, buds, flowers, or post-bloom flowers and fruits were taken at different stages: vegetative (5, 6, and 8 months old), at mass formation of buds (9 months), at full bloom (10 months), and post-bloom (10S months). The highest artemisinin content (0.86% dry wt) was present in the leaves of 5 months-old plants. At this stage also the highest leaf yield was found. Subsequently, the artemisinin content gradually dropped. At the age of 5 months the highest artemisinic acid and arteannuin B contents, 0.16 and 0.08% dry wt, respectively, were found as well. Artemisitene was present at all stages of development, ranging from 0.002 to 0.09% dry wt. With 1.9% v/w, the essential oil content was maximal just before flowering and was composed of 55% monoterpenes and 45% sesquiterpenes. At all other stages (0.4 - 1.0% v/w oil) this ratio was ca. 30%/70%. The main components of the oil were camphor and germacrene-D.",retrieved
8739100,Hairy root culture of Artemisia annua L. by Ri plasmid transformation and biosynthesis of artemisinin.,Chinese journal of biotechnology,1995,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;genomics,3,title_priority_only,The hairy root culture system of the medical plant Artemisia annua L. was established by infection with Agrobacterium rhizogenes R1601. The transgenic state of transformed roots was confirmed by Southern blot hybridization with TL-DNA of pFw302. The expression of NPTII gene was confirmed by enzymic assay. The important secondary metabolites-artemisinin was obtained in the hairy root culture. The effects of various physical and chemical factors on the growth of the hairy roots and production of artemisinin were studied. Artemisinin could be detected in hairy roots cultures in the light. The optimum pH value of the medium was 5.4. Fast growth of the hairy roots and maximal production of artemisinin was observed in the presence of 3% sucrose. Low concentration of naphthylacetic acid (0.025 mg/L) enhanced the growth of the roots but inhibited the production of artemisinin. The growth and artemisinin production in hairy root cultures were greatly promoted by the addition of gibberellin (GA3) to the medium. Its optimum concentration was 4.8 mg/L.,retrieved
9369092,Artemisinin: an endoperoxidic antimalarial from Artemisia annua L.,Fortschritte der Chemie organischer Naturstoffe = Progress in the chemistry of organic natural products. Progres dans la chimie des substances organiques naturelles,1997,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,lactone;phenotype,3,title_priority_only,,no_abstract
