record_id,source_id,taxon,parasite,chemistry_resolution,phenotype_context,host_control,mechanistic_support,translation_level,overall_tier,appraisal_basis
P011,indica-antiprotozoal,Artemisia indica,Plasmodium falciparum; Trypanosoma brucei; Trypanosoma cruzi,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M2_hypothesis_or_stage_mechanism,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P012,scoparia-callus-leishmania,Artemisia scoparia,Leishmania tropica,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P013,gorgonum-antiplasmodial,Artemisia gorgonum,Plasmodium falciparum FcB1,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P014,absinthium-cuba-leishmania,Artemisia absinthium,Leishmania amazonensis,C2_profiled_mixture,P3_in_vivo_or_organismal,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P015,absinthium-ovine-nematodes,Artemisia absinthium,ovine gastrointestinal nematodes,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S2_partial_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P016,absinthium-selective-nematocidal-oils,Artemisia absinthium,Trichinella spiralis; Meloidogyne javanica,C2_profiled_mixture,P3_in_vivo_or_organismal,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,B_characterized_phenotype,chemistry=C2_profiled_mixture; phenotype=P3_in_vivo_or_organismal; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P017,absinthium-wormwood-lambs,Artemisia absinthium,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P018,absinthium-swine-parasites,Artemisia absinthium,gastrointestinal parasites in swine,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P019,absinthium-awassi-nematodes,Artemisia absinthium,gastrointestinal nematodes in Awassi sheep,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P020,annua-whole-plant-resistance,Artemisia annua,Plasmodium yoelii; Plasmodium chabaudi,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P021,annua-whole-leaf-flavonoid,Artemisia annua,Plasmodium falciparum Dd2,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P022,annua-led-antimalarial,Artemisia annua,Plasmodium falciparum NF54,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P023,absinthium-schistosoma,Artemisia absinthium,Schistosoma mansoni,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P024,absinthium-nanocochleate-leishmania,Artemisia absinthium,Leishmania amazonensis,C2_profiled_mixture,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C2_profiled_mixture; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P025,annua-extract-pk-synergy-2026,Artemisia annua,Plasmodium falciparum Pf3D7; Plasmodium yoelii,C3_defined_or_purified,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P026,annua-chrysosplenetin-resistance-2025,Artemisia annua,Plasmodium berghei K173,C3_defined_or_purified,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P027,absinthium-european-tinctures-2025,Artemisia absinthium,Haemonchus contortus; Strongyloides papillosus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P028,afra-annua-metabolomics-malaria-2025,Artemisia annua; Artemisia afra,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P029,annua-natural-combination-malaria-2018,Artemisia annua,Plasmodium yoelii; Plasmodium berghei,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P030,herba-alba-judaica-ascaridia-2026,Artemisia herba-alba; Artemisia judaica,Ascaridia galli,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P031,annua-top-down-synergy-2024,Artemisia annua,Plasmodium falciparum; Plasmodium yoelii,C3_defined_or_purified,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P032,annua-haemonchus-sheep-2014,Artemisia annua,Haemonchus contortus and mixed ovine gastrointestinal nematodes,C3_defined_or_purified,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P033,brevifolia-anthelmintic-sheep-2004,Artemisia brevifolia,Haemonchus contortus and mixed gastrointestinal nematodes,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P034,herba-alba-haemonchus-crude-extract-2020,Artemisia herba-alba,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P035,annua-ancient-preparation-malaria-2010,Artemisia annua,Plasmodium falciparum; Plasmodium berghei,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P036,annua-whole-plant-antimalarial-2012,Artemisia annua,Plasmodium chabaudi,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P037,annua-tea-artemisinin-only-2013,Artemisia annua,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P038,annua-gametocyte-tea-2021,Artemisia annua; Artemisia afra,Plasmodium falciparum NF54,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P039,annua-complex-antimalarial-invitro-2021,Artemisia annua; Artemisia afra,Plasmodium falciparum 3D7; MRA1252/1240; Cam3.11/Cam3.11rev,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P040,artemisia-infusions-hypnozoite-2022,Artemisia annua; Artemisia afra,Plasmodium falciparum; P. vivax; P. cynomolgi,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P041,absinthium-hymenolepis-2018,Artemisia absinthium,Hymenolepis nana,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P042,absinthium-toxocara-2011,Artemisia absinthium,Toxocara cati,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M2_hypothesis_or_stage_mechanism,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M2_hypothesis_or_stage_mechanism; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P043,campestris-haemonchus-2014,Artemisia campestris,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P044,indica-roxburghiana-nematodes-2015,Artemisia indica; Artemisia roxburghiana,mixed gastrointestinal nematodes,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P045,cina-haemonchus-gerbil-2021,Artemisia cina,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P046,herba-alba-goat-haemonchus-1982,Artemisia herba-alba,Haemonchus contortus,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P047,afra-powder-malaria-2024,Artemisia afra,Plasmodium berghei,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P048,ludoviciana-fasciola-2023,Artemisia ludoviciana subsp. mexicana,Fasciola hepatica,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S2_partial_control,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S2_partial_control; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P049,cina-peruvin-synergy-2024,Artemisia cina,Haemonchus contortus,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P050,herba-alba-cattle-haemonchus-2025,Artemisia herba-alba,Haemonchus contortus,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P051,absinthium-goat-nematodes-2025,Artemisia absinthium,goat gastrointestinal nematodes,C1_crude_or_unresolved,P3_in_vivo_or_organismal,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T3_preclinical_in_vivo,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P3_in_vivo_or_organismal; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T3_preclinical_in_vivo; rule-based appraisal; inspect source and boundary text before inference
P052,vulgaris-fasciola-2023,Artemisia vulgaris,Fasciola gigantica,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
P053,kermanensis-leishmania-2023,Artemisia kermanensis,Leishmania major,C3_defined_or_purified,P2_direct_parasite_or_vector_in_vitro,S3_reported_selectivity_or_host_control,M1_phenotype_only_or_unresolved,T2_in_vitro_with_host_context,B_characterized_phenotype,chemistry=C3_defined_or_purified; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S3_reported_selectivity_or_host_control; mechanism=M1_phenotype_only_or_unresolved; translation=T2_in_vitro_with_host_context; rule-based appraisal; inspect source and boundary text before inference
P054,annua-hydrotrope-antimalarial-2024,Artemisia annua,Plasmodium falciparum,C1_crude_or_unresolved,P2_direct_parasite_or_vector_in_vitro,S1_absent_or_unresolved,M1_phenotype_only_or_unresolved,T1_in_vitro_without_host_context,C_phenotype_with_unresolved_attribution,chemistry=C1_crude_or_unresolved; phenotype=P2_direct_parasite_or_vector_in_vitro; host=S1_absent_or_unresolved; mechanism=M1_phenotype_only_or_unresolved; translation=T1_in_vitro_without_host_context; rule-based appraisal; inspect source and boundary text before inference
