source_id,record_ids,title,pmid,pmcid,source_url,taxa,parasites,priority,full_text_route,full_text_status,eligibility_focus,required_checks
annua-hydrotrope-antimalarial-2024,P054,Enhanced Antimalarial Activity of Extracts of Artemisia annua L. Achieved with Aqueous Solutions of Salicylate Salts and Ionic Liquids,38434799,,https://pubmed.ncbi.nlm.nih.gov/38434799/,Artemisia annua,Plasmodium falciparum,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-led-antimalarial,P022,Variation in terpenoids in leaves of Artemisia annua grown under different LED spectra resulting in diverse antimalarial activities against Plasmodium falciparum,35313811,PMC8935710,https://pmc.ncbi.nlm.nih.gov/articles/PMC8935710/,Artemisia annua,Plasmodium falciparum NF54,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-natural-combination-malaria-2018,P029,Combination of artemisinin-based natural compounds from Artemisia annua L. for the treatment of malaria: Pharmacodynamic and pharmacokinetic studies,29656410,,https://pubmed.ncbi.nlm.nih.gov/29656410/,Artemisia annua,Plasmodium yoelii; Plasmodium berghei,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-origin-malaria-2014,P079,HPLC separation and in vitro antimalarial studies of Artemisia annua plants from two different origins: Cameroon versus Luxembourg.,38764794,PMC11100363,https://pubmed.ncbi.nlm.nih.gov/38764794/,Artemisia annua,Plasmodium falciparum and hemozoin surrogate,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-plant-matrix-malaria-pk-2025,P078;P118,The plant matrix of Artemisia annua L. for the treatment of malaria: Pharmacodynamic and pharmacokinetic studies,40334250,PMC12058161,https://pubmed.ncbi.nlm.nih.gov/40334250/,Artemisia annua,Plasmodium berghei and Plasmodium chabaudi; Plasmodium spp. in murine malaria models,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-tea-artemisinin-only-2013,P037,Is artemisinin the only antiplasmodial compound in the Artemisia annua tea infusion? An in vitro study,23512495,,https://pubmed.ncbi.nlm.nih.gov/23512495/,Artemisia annua,Plasmodium falciparum,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-tea-metabolomics-malaria-2025,P123,Comparison of the composition and antiplasmodial activity of Artemisia annua teas using an untargeted metabolomic approach,40844983,PMC12373170,https://pmc.ncbi.nlm.nih.gov/articles/PMC12373170/,Artemisia annua,Plasmodium falciparum 3D7,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-top-down-synergy-2024,P031,Targeted screening of the synergistic components in Artemisia annua L. leading to enhanced antiplasmodial potency of artemisinin based on a top down PD-PK approach,38135228,,https://pubmed.ncbi.nlm.nih.gov/38135228/,Artemisia annua,Plasmodium falciparum; Plasmodium yoelii,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-whole-leaf-flavonoid,P021,Flavonoid Versus Artemisinin Anti-malarial Activity in Artemisia annua Whole-Leaf Extracts,31417596,PMC6683762,https://pmc.ncbi.nlm.nih.gov/articles/PMC6683762/,Artemisia annua,Plasmodium falciparum Dd2,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-whole-plant-antimalarial-2012,P036,Dried whole plant Artemisia annua as an antimalarial therapy,23289055,PMC3527585,https://pmc.ncbi.nlm.nih.gov/articles/PMC3527585/,Artemisia annua,Plasmodium chabaudi,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-whole-plant-resistance,P020,Dried whole-plant Artemisia annua slows evolution of malaria drug resistance and overcomes resistance to artemisinin,25561559,PMC4311864,https://pmc.ncbi.nlm.nih.gov/articles/PMC4311864/,Artemisia annua,Plasmodium yoelii; Plasmodium chabaudi,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
annua-whole-plant-resistance-2015,P092;P093,Dried whole-plant Artemisia annua slows evolution of malaria drug resistance and overcomes resistance to artemisinin.,25561559,PMC4311864,https://pubmed.ncbi.nlm.nih.gov/25561559/,Artemisia annua,Plasmodium chabaudi; Plasmodium yoelii,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
artemisia-ag-nanoparticles-malaria-2020,P087;P088,The potential antimalarial efficacy of hemocompatible silver nanoparticles from Artemisia species against P. falciparum parasite.,32870934,PMC7462267,https://pubmed.ncbi.nlm.nih.gov/32870934/,Artemisia abrotanum; Artemisia arborescens,Plasmodium falciparum,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
artemisia-infusions-hypnozoite-2022,P040,Artemisinin-independent inhibitory activity of Artemisia sp. infusions against different Plasmodium stages including relapse-causing hypnozoites,34857648,PMC8675911,https://pmc.ncbi.nlm.nih.gov/articles/PMC8675911/,Artemisia annua; Artemisia afra,Plasmodium falciparum; P. vivax; P. cynomolgi,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
artemisinin-extracellular-heme-2012,P097,Extracellular heme enhances the antimalarial activity of artemisinin.,22223333,,https://pubmed.ncbi.nlm.nih.gov/22223333/,Artemisia annua-derived artemisinin,Plasmodium falciparum,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
aucheri-armeniaca-antimalarial-2014,P086,Evaluation of in vitro antimalarial activity of different extracts of Artemisia aucheri Boiss. and A. armeniaca Lam. and fractions of the most potent extracts.,24558335,PMC3914376,https://pubmed.ncbi.nlm.nih.gov/24558335/,Artemisia aucheri and Artemisia armeniaca,Plasmodium surrogate,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
gorgonum-antiplasmodial,P013,Sesquiterpene lactones from the endemic Cape Verdean Artemisia gorgonum,19007951,,https://pubmed.ncbi.nlm.nih.gov/19007951/,Artemisia gorgonum,Plasmodium falciparum FcB1,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
indica-antimalarial-principles-1998,P066,Antimalarial principles from Artemisia indica.,9748386,,https://pubmed.ncbi.nlm.nih.gov/9748386/,Artemisia indica,Plasmodium falciparum,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
indica-antiprotozoal,P011,Antiprotozoal Effect of Artemisia indica Extracts and Essential Oil,26085047,,https://pubmed.ncbi.nlm.nih.gov/26085047/,Artemisia indica,Plasmodium falciparum; Trypanosoma brucei; Trypanosoma cruzi,P1_malaria,PubMed abstract plus publisher/full-text lookup,not yet screened at full text,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
khorassanica-malaria,P071,In Vivo Antimalarial Effects of Iranian Flora Artemisia khorassanica against Plasmodium berghei and Pharmacochemistry of its Natural Components,22347230,,https://pubmed.ncbi.nlm.nih.gov/22347230/,Artemisia khorassanica,Plasmodium berghei,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
parthenin-parthenolide-malaria-transmission-2016,P120,The Nonartemisinin Sesquiterpene Lactones Parthenin and Parthenolide Block Plasmodium falciparum Sexual Stage Transmission,26787692,PMC4808191,https://pmc.ncbi.nlm.nih.gov/articles/PMC4808191/,Parthenium hysterophorus / non-Artemisia comparator,Plasmodium falciparum and mosquito-stage Plasmodium,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
pf-artemisinin-heme-detox-2021,P112,Artemisinin-Based Drugs Target the Plasmodium falciparum Heme Detoxification Pathway,33495226,PMC8097475,https://pmc.ncbi.nlm.nih.gov/articles/PMC8097475/,Artemisinin/A. annua-derived drug,Plasmodium falciparum,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
pf-artemisinin-oxidative-stress-2024,P110,Oxidative stress changes the effectiveness of artemisinin in Plasmodium falciparum,38323831,PMC10936410,https://pmc.ncbi.nlm.nih.gov/articles/PMC10936410/,Artemisinin/A. annua-derived drug,Plasmodium falciparum,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
pf-artemisinin-proteostasis-resistance-2024,P111,Enhanced cell stress response and protein degradation capacity underlie artemisinin resistance in Plasmodium falciparum,39436072,PMC11580438,https://pmc.ncbi.nlm.nih.gov/articles/PMC11580438/,Artemisinin/A. annua-derived drug,Plasmodium falciparum,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
pf-peroxide-redox-homeostasis-2022,P113,Peroxide Antimalarial Drugs Target Redox Homeostasis in Plasmodium falciparum Infected Red Blood Cells,34985858,PMC8762662,https://pmc.ncbi.nlm.nih.gov/articles/PMC8762662/,Artemisinin/A. annua-derived drug,Plasmodium falciparum,P1_malaria,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
sieberi-malaria,P070,Antimalarial Effects of Iranian Flora Artemisia sieberi on Plasmodium berghei In Vivo in Mice and Phytochemistry Analysis of Its Herbal Extracts,22315701,,https://pubmed.ncbi.nlm.nih.gov/22315701/,Artemisia sieberi,Plasmodium berghei,P1_malaria,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"malaria/artemisinin: verify preparation, parasite stage, artemisinin or co-metabolite attribution, resistance state, and host exposure",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-artemisinin-hcontortus-2019,P128,PSIV-9 Effects of plant extracts on adult Haemonchus contortus mortality,,PMC6898093,https://pmc.ncbi.nlm.nih.gov/articles/PMC6898093/,Artemisia absinthium,Haemonchus contortus adult worms,P1_wormwood_vermifuge,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-awassi-nematodes,P019;P074,Comparison of in vivo anthelmintic efficacy of Artemisia absinthium extract and albendazole in Awassi sheep with natural gastrointestinal nematode infection,42572844,,https://pubmed.ncbi.nlm.nih.gov/42572844/,Artemisia absinthium,gastrointestinal nematodes in Awassi sheep; gastrointestinal nematodes in naturally infected Awassi sheep,P1_wormwood_vermifuge,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-dracunculus-rootnematodes-2026,P061,Bioactivity of Artemisia dracunculus and A. absinthium Essential Oils Against Stored Product Insect Pests and Root-Knot Nematodes,42652491,PMC13513081,https://pmc.ncbi.nlm.nih.gov/articles/PMC13513081/,Artemisia absinthium; Artemisia dracunculus,root-knot nematodes and stored-product insects,P1_wormwood_vermifuge,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-european-tinctures-2025,P027;P119,Anthelmintic Activity of Traditional Medicinal Plants Used in Europe,41463411,PMC12729885,https://pmc.ncbi.nlm.nih.gov/articles/PMC12729885/,Artemisia absinthium,Haemonchus contortus; Strongyloides papillosus; Strongyloides papillosus; Haemonchus contortus,P1_wormwood_vermifuge,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-goat-coccidiosis-2013,P062,"Antiparasitic efficacy of Artemisia absinthium, toltrazuril and amprolium against intestinal coccidiosis in goats",24431547,PMC3590371,https://pmc.ncbi.nlm.nih.gov/articles/PMC3590371/,Artemisia absinthium,Eimeria spp.,P1_wormwood_vermifuge,PMC full text/XML candidate,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-goat-nematodes-2025,P051,"In vitro and in vivo anthelmintic activity of Artemisia absinthium against gastrointestinal nematodes of free-grazing goats from Ayacucho, Peru",41328231,,https://pubmed.ncbi.nlm.nih.gov/41328231/,Artemisia absinthium,goat gastrointestinal nematodes,P1_wormwood_vermifuge,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-haemonchus-medicinal-plants-2018,P057,Ovicidal and larvicidal activity of extracts from medicinal-plants against Haemonchus contortus,30389531,,https://pubmed.ncbi.nlm.nih.gov/30389531/,Artemisia absinthium,Haemonchus contortus,P1_wormwood_vermifuge,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-hymenolepis-2018,P041,Therapeutic efficacy of Artemisia absinthium against Hymenolepis nana: in vitro and in vivo studies in comparison with the anthelmintic praziquantel,28606189,,https://pubmed.ncbi.nlm.nih.gov/28606189/,Artemisia absinthium,Hymenolepis nana,P1_wormwood_vermifuge,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
absinthium-ovine-nematodes,P015;P072,Anthelmintic activity of extracts of Artemisia absinthium against ovine nematodes,19070963,,https://pubmed.ncbi.nlm.nih.gov/19070963/,Artemisia absinthium,ovine gastrointestinal nematodes; ovine gastrointestinal nematodes including Haemonchus contortus,P1_wormwood_vermifuge,PubMed abstract plus publisher/full-text lookup,full text verified; quantitative eligibility unresolved,"A. absinthium vermifuge: verify voucher/chemotype, thujone and santonin quantitation, helminth stage, dose, host control, and residue limits",identity; preparation; analytical method; parasite stage; dose/exposure; comparator; host selectivity; constituent attribution; mechanism; translational boundary
