claim_id,article_section,claim,source_ids,source_records_resolve,source_anchor_type,specimen_or_assay_context,audit_status,audit_note
C348,6.2,A single oral dose of powdered dried A. annua leaves containing 24 mg/kg artemisinin reduced P. chabaudi parasitemia more than an equal pure-artemisinin dose in the primary rodent comparison,annua-whole-plant-antimalarial-2012,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C351,6.3,"A single 2 g/kg oral dose of crude ethanolic A. absinthium extract was less effective than toltrazuril or amprolium against naturally infected goat coccidiosis, with oocysts persisting through day 28",absinthium-goat-coccidiosis-2013,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C352,6.3,"In a 46-plant tincture screen, A. absinthium selectively killed S. papillosus L1-2 at 1.0% solution but showed little or no activity against S. papillosus L3 or H. contortus L3",absinthium-european-tinctures-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C356,6.3,"A full-text Awassi-sheep study used a crude 95% ethanolic A. absinthium extract at 1 g/kg and reported 66.79% day-7 and 76.77% day-15 fecal-egg-count reduction versus 100% for albendazole, with no observed short-term adverse effects",absinthium-awassi-nematodes,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C357,6.2,"A full-text comparative A. afra/A. annua malaria study measured 19.3 mg/g artemisinin in dry A. annua acetone extract versus A. afra below the reported HPLC-UV detection limit, with IC50 values of 0.09 and 11.73 microgram/mL, respectively",afra-annua-metabolomics-malaria-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C358,6.2,"A full-text mouse study found A. annua powder suspensions active against P. berghei but A. afra suspensions weak or inactive under the tested dosing and storage conditions, including less than 5% activity after three daily A. afra doses",afra-powder-malaria-2024,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C359,6.2,"A full-text hydrotrope-extraction study matched A. annua extracts and pure artemisinin at 1 microgram/mL artemisinin-equivalent concentration, reporting lower P. falciparum 3D7 IC50 values for optimized sodium- and cholinium-salicylate extracts and no haemolysis at the closest IC50 dose",annua-hydrotrope-antimalarial-2024,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C364,6.2,"A full-text J-STAGE study found that 0.1 and 1 micromolar extracellular hemin lowered artemisinin IC50 against synchronized P. falciparum TM267R from 7.0 to 3.1 and 1.9 nM, respectively, while vitamin E attenuated artemisinin-associated oxidative readouts",artemisinin-extracellular-heme-2012,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C365,6.2,"A full-text resistant-mouse study found that artemisinin plus chrysosplenetin at a 1:2 ratio retained 100% survival, approximately 30% inhibition, and approximately 20% parasitemia in resistant P. berghei K173 cohorts regardless of Mdr1a genotype, with tissue- and genotype-dependent ABC-transporter, ROS/GSH, cytokine, PI3K/AKT-mTOR, and MAPK responses",annua-chrysosplenetin-resistance-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C366,6.3,"Full-text analysis of two cultivated Spanish A. absinthium populations found a thujone-free (Z)-epoxyocimene/(Z)-chrysanthenol oil chemotype, 72-100% reduction of ex-vivo T. spiralis infectivity at 0.5-1 mg/mL, 49-66% in-vivo intestinal-larval reduction at 100-500 mg/kg, macrophage growth inhibition below 20% at 200 microgram/mL, and no material activity against M. javanica J2 at 1 mg/mL",absinthium-selective-nematocidal-oils,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C367,6.2,"Full-text analysis of a flowering-stage Iranian A. khorassanica crude extract found limited P. berghei activity in infected NMRI mice and a GC-MS non-polar fraction containing 29.9% monoterpenes, 6.2% sesquiterpenes, chrysanthenone at 7.8%, and cis-thujone at 5.8%",khorassanica-malaria,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C370,6.3,"A full-text 30-day whole-plant A. annua sheep trial quantified 0.96% artemisinin but found only modest, non-significant EPG reductions at 0.2% and 0.4% body-weight feeding; bitter taste limited intake at the higher dose, reinforcing that plant artemisinin content, delivered dose, palatability, and parasite model are separate variables",annua-haemonchus-sheep-2017; annua-haemonchus-sheep-2014; annua-haemonchus-gerbil,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C371,6.3,A full-text 2014 A. annua sheep study found strong preparation-specific in-vitro H. contortus activity but nonsignificant single-dose day-15 EPG reductions of 19.3% for an artemisinin-free sodium-bicarbonate extract and 27.8% for 100 mg/kg artemisinin; fecal artemisinin peaked at 126.5 microgram/g at 24 hours,annua-haemonchus-sheep-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C372,6.3,"The foundational ovine A. absinthium study reported stronger adult H. contortus motility effects for crude ethanolic than aqueous aerial-part extract and day-15 FECR of 82.85% at 1.0 g/kg and 90.46% at 2.0 g/kg for the ethanolic extract, while the aqueous extract reached 80.49% at 2.0 g/kg",absinthium-ovine-nematodes,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C373,2.4;5,"A full-text defined-component A. annua mouse study combined artemisinin, arteannuin B, arteannuinic acid, and scopoletin at 1:1:1:1 by mass; the authors reported approximately 93% versus approximately 31% murine parasitemia reduction and higher artemisinin exposure for the combination versus pure artemisinin",annua-natural-combination-malaria-2018,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C376,2.4;5;6.2,"A full-text indexed top-down A. annua PD-PK study found lower murine P. yoelii ED50 values for artemisinin in ethyl-acetate and petroleum-ether extracts than for pure artemisinin, with a 1.7-fold PE increase in rat ART AUC0-t and differential sesquiterpenes arteannuin B and artemisinic acid isolated from the PE extract",annua-top-down-synergy-2024,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C377,6.3,"A full-text A. herba-alba aqueous extract killed mature H. contortus in vitro in a concentration- and time-dependent manner, reaching approximately 80% mortality at 5 mg/mL by 8 hours and complete mortality at 10 mg/mL by 6 hours, but the study did not chemically resolve thujone, santonin, sesquiterpene lactones, or another active constituent",herba-alba-cattle-haemonchus-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C378,6.2;6.3,"Full-text extraction confirmed that voucher-linked A. armeniaca and A. aucheri polarity-fractionated extracts inhibited synthetic beta-hematin formation, with the strongest A. armeniaca fraction more active than its parent dichloromethane extract, but no parasite culture, host-selectivity endpoint, or compound-resolved terpene measurement was reported",aucheri-armeniaca-antimalarial-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C380,6.3,"Full-text extraction of a Tunisian A. campestris study found flavonoid-dominated aqueous and ethanolic aerial-part extracts with dose- and stage-specific H. contortus activity, including egg-hatch LC50 values of 0.827 and 1.00 mg/mL and 91.30% versus 3.22% adult mortality at 8 hours at 2 mg/mL",campestris-haemonchus-2014,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C381,6.4,"Full-text extraction of an ethyl-acetate A. ludoviciana subsp. mexicana study found dose- and stage-specific F. hepatica activity, with extract LC50/LC90/LC99 values of 80.1/310.9/362.9 mg/L against adults and greater than 60% ovicidal action above 300 mg/L, while current-experiment chemistry was not terpene-resolved",ludoviciana-fasciola-2023,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C383,6.4,A full-text standardized A. annua extract study correlated artemisinin content from 0.13% to 1.21% with L. infantum promastigote inhibition and reported an amastigote IC50 of 69.32 +/- 12.79 microgram/mL with J774A.1 macrophage viability above 90% at up to 400 microgram/mL,annua-standardized-leishmania-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C384,6.4,"A full-text A. sieberi aqueous-extract versus purified-artemisinin comparison against L. major reported concentration-dependent activity against promastigotes and intracellular amastigotes, with reported promastigote IC50 values of 25 and 50 microgram/mL respectively and low effects on uninfected mouse macrophages",sieberi-artemisinin-leishmania-2013,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C385,2.2,"Full-text comparison of five Artemisia essential oils resolved species-specific volatile profiles by GC-MS/GC-FID, with yields of 0.02-0.53%, PCA separation, and strongest contact toxicity from A. ordosica against L. bostrychophila and A. tangutica against T. castaneum",artemisia-five-species-anti-insect-2022,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C386,2.2;6.4,"Full-text A. scoparia population sampling linked altitude-associated oil-yield and composition differences to mosquito phenotypes, including Asco-2 repellency up to 165 minutes and Asco-5 larvicidal LC50 values of 55.5 microgram/mL at 24 hours and 43.5 microgram/mL at 48 hours",scoparia-altitude-mosquito-2024,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C388,6.4,"Full-text bioguided fractionation of A. kermanensis identified a geraniol-derived monoterpene derivative plus eupatilin and a trimethoxylated flavone; fraction and purified-compound assays against L. major showed parasite activity with much higher macrophage IC50 values, but the strongest amastigote result was flavonoid-associated",kermanensis-leishmania-2023,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C389,5,"The 2025 global Artemisia framework used 202 low-copy nuclear genes and ITS/ETS to place 394 of 505 accepted species, with genome-skimming data for 314 species and extensive nuclear/plastid discordance",artemisia-phylogenomics,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C390,6.2;6.4,"Full-text A. indica activity-guided fractionation traced K1 multidrug-resistant P. falciparum activity to exiguaflavanones A/B, maackiain, and a benzofuran from authenticated stems, with EC50 values of 4.60 x 10^-6 and 7.05 x 10^-6 g/mL for exiguaflavanones A/B",indica-antimalarial-principles-1998,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C391,6.2;6.4,"Full-text publisher-preview extraction of A. gorgonum resolved guaianolide/secoguaianolide and germacranolide chemistry, with ridentin showing P. falciparum FcB1 IC50 3.8 +/- 0.7 microgram/mL versus Vero-cell IC50 71.0 +/- 3.9 microgram/mL",gorgonum-antiplasmodial,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C392,6.3,"Full-text Pakistani cross-species screening found concentration-dependent egg, larval, and adult-worm effects for methanolic A. indica and A. roxburghiana extracts, including 85 +/- 21.2% and 80 +/- 28.3% egg-hatch inhibition at 50 mg/mL",indica-roxburghiana-nematodes-2015,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C396,6.2;6.4,"An indexed full-text 2026 A. annua extract study found no in-vitro synergy with artemisinin against Pf3D7 at 150 nM but a biphasic, infection-stage-dependent mouse matrix effect, with higher early artemisinin exposure and chrysosplenetin identified as a candidate synergistic component through LC-HRMS and fractionation",annua-extract-pk-synergy-2026,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C397,6.2;6.4,"A full-text A. indica study found no artemisinin in solvent extracts at a 30 ng/mL detection limit, characterized 92 essential-oil constituents including camphor and caryophyllene oxide, and reported preparation-dependent activity against multidrug-resistant P. falciparum, recombinant PfFAS-II enzymes, other protozoa, and a primary L6 mammalian-cell counterassay",indica-antiprotozoal,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C398,6.3,"An abstract-level A. campestris essential-oil study reported 50 identified compounds dominated by beta-pinene and 2-undecanone, complete H. contortus egg-hatch inhibition at 2 mg/mL, 66.6% adult-worm motility inhibition at 0.5 mg/mL, and 72% total-worm-count reduction in H. polygyrus at 5000 mg/kg",campestris-helminth,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C399,6.3,An indexed full-text 13-plant comparison found methanolic A. absinthium stem extract among the most significant preparations against H. contortus eggs and larvae and reported 6.10 mg/g dry matter rutin in that extract,absinthium-haemonchus-medicinal-plants-2018,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C400,6.3,"A 2026 primary article reported a dose- and time-dependent whole-powder A. maritima phenotype in naturally infected Kashmir sheep, with 70.40% day-21 FECR at 3 g/kg versus 85.81% for fenbendazole and improvement in selected hematological measures",maritima-sheep-2026,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C406,6.3,"A full-text 2025 trial of oral A. cina n-hexane extract in artificially infected periparturient ewes reduced H. contortus infective larvae in fecal cultures by 89.9%, but the combined fungus/plant arm did not improve postpartum EPG and the chemistry was not terpene-resolved",cina-periparturient-ewes-2025,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C407,6.2,"An open-access full-text chicken study found that 17 ppm petroleum-ether A. annua leaf extract reduced Eimeria tenella oocyst excretion more than tested synthetic artemisinin doses, with cecal-lesion improvement but no significant body-weight or hemoglobin benefit",annua-eimeria-wiedosari-2017,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C409,6.3,"The Springer publisher preview for A. cina reports n-hexane extract activity against H. contortus L3 and transitional L3-L4 larvae, 13- to 80-fold Hc29-expression changes after extract/isoguaiacine exposure, and 100% reported reduction in artificially infected gerbils after oral extract treatment",cina-haemonchus-gerbil-2021,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
C410,6.3,"A full-text poultry study found that crude aqueous A. herba-alba shoot extract delivered at 0.4 g/kg for three days after experimental Heterakis gallinarum infection produced 97.78% fecal-egg-count reduction and 96.07% worm-count reduction at seven days, close to albendazole comparator values",herba-alba-heterakis-turkey-2011,yes,primary_or_direct_assay,scope-qualified in claim audit,verified_source_linked,Primary/assay anchor retained where registered; secondary synthesis is explicitly labeled and is not treated as a primary estimate.
